"finding_id","asset_id","cve","software","vulnerability_type","base_vector","description"
"C-001","WEB-DMZ","CVE-2021-34218","public web service","APP","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:L/A:N","Curated legacy scenario finding C-001 on WEB-DMZ"
"C-002","WEB-DMZ","CVE-2022-22943","public web service","APP","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","Curated legacy scenario finding C-002 on WEB-DMZ"
"C-003","DB-CORE","CVE-2021-38089","database","SYS","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","Curated legacy scenario finding C-003 on DB-CORE"
"C-004","DB-CORE","CVE-2022-22943","database","SYS","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H","Curated legacy scenario finding C-004 on DB-CORE"
"C-005","POS-01","CVE-2016-0469","payment processing","SYS","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","Curated legacy scenario finding C-005 on POS-01"
"C-006","ADMIN-PCI","CVE-2016-3234","administration","APP","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","Curated legacy scenario finding C-006 on ADMIN-PCI"
"C-007","BACKUP-SRV","CVE-2020-2575","backup service","SYS","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H","Curated legacy scenario finding C-007 on BACKUP-SRV"
"C-008","IOT-GW","CVE-2021-34218","iot gateway","SYS","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:L/A:N","Curated legacy scenario finding C-008 on IOT-GW"
"C-009","CORE-SW","@�EE-2016-6441","segmentation enforcement","SYS","CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H","Curated legacy scenario finding C-009 on CORE-SW"
"C-010","EDGE-FW","CVE-2022-22943","edge firewall","SYS","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H","Curated legacy scenario finding C-010 on EDGE-FW"
