packet_version,presentation_order,review_scenario_id,record_origin,cvss_base_vector,cvss_base_score,cvss_base_severity,asset_class,availability_requirement,compensating_controls,confidentiality_requirement,deployment_context,evidence_links,evidence_summary,integrity_requirement,internet_exposure,privilege_context,supplemental_context,threat_context
A,1,ER-7C54C9FDE4CF,real_cvss_v4_record_with_curated_context,CVSS:4.0/AV:L/AC:H/AT:N/PR:L/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:P/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,1.1,LOW,public_web_application,AR:M - availability is medium because outage affects customer access but has fallback operations.,"WAF enabled, centralized logging, rate limiting, standard patch window.",CR:H - confidentiality is high because customer data may be processed.,Customer-facing web application handling authenticated user data.,[redacted-source-url]; [redacted-source-url]; [redacted-source-url]; [redacted-source-url],NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: public_web_application.,IR:H - integrity is high because application state may affect user transactions.,public,Externally reachable service with standard user accounts.,Automatable and provider urgency should be reviewed if official supplemental data exists.,NVD CVE record used as vulnerability source; exploit/threat state requires separate review.
A,2,ER-FBBF72B0E9C0,controlled_synthetic_scenario,CVSS:4.0/AV:P/AC:H/AT:P/PR:H/UI:A/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N,2.1,LOW,public_api_gateway,AR:H - availability is high because partners and clients depend on the API.,"API gateway policies, rate limiting, logging, schema validation, token rotation.",CR:H - confidentiality is high because API traffic may expose sensitive data.,Public API gateway serving partner integrations and mobile clients.,local://curated-scenario/SCN-SYN-024; docs/ARTICLE_DATASET_SCHEMA.md; docs/ARTICLE_CLAIM_GUARDRAILS_CVSS40.md,"Curated local environment profile for public_api_gateway; CVSS v4.0 vector assigned for controlled experiment, not an official CVE score.",IR:H - integrity is high because API actions may change business records.,public,API tokens and service-to-service credentials are used.,Provider urgency and automatable may support operational prioritization.,Synthetic scenario; threat context is not authoritative and requires review.
A,3,ER-E9898B9E1C31,real_cvss_v4_record_with_curated_context,CVSS:4.0/AV:N/AC:H/AT:P/PR:N/UI:N/VC:H/VI:L/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,8.3,HIGH,database_server,AR:H - availability is high because dependent business processes may stop.,"Network isolation, backups, encryption at rest, privileged access logging.",CR:H - confidentiality is high because regulated records may be stored.,Backend database storing regulated business records.,[redacted-source-url]; [redacted-source-url]; [redacted-source-url]; [redacted-source-url],NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: database_server.,IR:H - integrity is high because records are authoritative.,internal,Access limited to application service accounts and database administrators.,Recovery may be relevant because backups and restore time affect operational impact.,NVD CVE record used as vulnerability source; exploit/threat state requires separate review.
A,4,ER-B0F3A70890F2,real_cvss_v4_record_with_curated_context,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:P/VC:N/VI:N/VA:N/SC:L/SI:L/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,5.1,MEDIUM,ot_monitoring_gateway,AR:H - availability is high because monitoring loss may affect operations.,"Network segmentation, allow-listing, monitoring, maintenance window constraints.",CR:M - confidentiality is medium because operational telemetry may be sensitive.,Operational technology monitoring gateway connected to industrial telemetry.,[redacted-source-url]; [redacted-source-url]; [redacted-source-url],NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: ot_monitoring_gateway.,IR:H - integrity is high because telemetry may influence operational decisions.,internal,Restricted operator and service accounts.,Safety and recovery should be reviewed as supplemental context.,NVD CVE record used as vulnerability source; exploit/threat state requires separate review.
A,5,ER-1B4DA28128F1,real_cvss_v4_record_with_curated_context,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:P/VC:N/VI:N/VA:N/SC:L/SI:L/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,5.1,MEDIUM,isolated_lab_system,AR:L - availability is low because outage has limited operational effect.,"Network isolation, no production data, rebuildable images.",CR:L - confidentiality is low because no production data is expected.,Non-production lab system isolated from production networks.,[redacted-source-url]; [redacted-source-url]; [redacted-source-url],NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: isolated_lab_system.,IR:L - integrity is low because lab state is disposable.,isolated,"Local lab accounts only, no production credentials.",Recovery is likely favorable because lab systems are rebuildable.,NVD CVE record used as vulnerability source; exploit/threat state requires separate review.
A,6,ER-2620D60FC580,real_cvss_v4_record_with_curated_context,CVSS:4.0/AV:N/AC:L/AT:N/PR:H/UI:N/VC:L/VI:L/VA:L/SC:N/SI:N/SA:N/E:P/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,2.0,LOW,database_server,AR:H - availability is high because dependent business processes may stop.,"Network isolation, backups, encryption at rest, privileged access logging.",CR:H - confidentiality is high because regulated records may be stored.,Backend database storing regulated business records.,[redacted-source-url]; [redacted-source-url]; [redacted-source-url]; [redacted-source-url],NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: database_server.,IR:H - integrity is high because records are authoritative.,internal,Access limited to application service accounts and database administrators.,Recovery may be relevant because backups and restore time affect operational impact.,NVD CVE record used as vulnerability source; exploit/threat state requires separate review.
A,7,ER-F2B1A49BE450,controlled_synthetic_scenario,CVSS:4.0/AV:A/AC:L/AT:N/PR:N/UI:P/VC:H/VI:L/VA:L/SC:H/SI:L/SA:L,7.1,HIGH,identity_provider,AR:H - availability is high because authentication outage affects many services.,"MFA, conditional access, monitoring, secrets rotation, incident response playbooks.",CR:H - confidentiality is high because identity data and tokens may be affected.,Identity and access management component used by multiple internal systems.,local://curated-scenario/SCN-SYN-027; docs/ARTICLE_DATASET_SCHEMA.md; docs/ARTICLE_CLAIM_GUARDRAILS_CVSS40.md,"Curated local environment profile for identity_provider; CVSS v4.0 vector assigned for controlled experiment, not an official CVE score.",IR:H - integrity is high because identity compromise may affect trust decisions.,restricted,Authentication boundary component with privileged integration tokens.,Value density and provider urgency may be important because identity systems concentrate risk.,Synthetic scenario; threat context is not authoritative and requires review.
A,8,ER-ED848A513E2E,controlled_synthetic_scenario,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H,9.3,CRITICAL,developer_workstation,AR:L - availability impact is usually limited to one endpoint.,"EDR, device management, least privilege, repository access controls.",CR:M - confidentiality is medium due to source code and secrets exposure risk.,"Developer endpoint with access to source code, build tools, and internal repositories.",local://curated-scenario/SCN-SYN-013; docs/ARTICLE_DATASET_SCHEMA.md; docs/ARTICLE_CLAIM_GUARDRAILS_CVSS40.md,"Curated local environment profile for developer_workstation; CVSS v4.0 vector assigned for controlled experiment, not an official CVE score.",IR:H - integrity is high because code or pipeline changes may affect production.,restricted,Standard developer user with access to internal repositories and CI credentials.,Automatable may be relevant if exploitation can be scaled across endpoints.,Synthetic scenario; threat context is not authoritative and requires review.
A,9,ER-716B2506DB0D,controlled_synthetic_scenario,CVSS:4.0/AV:N/AC:H/AT:P/PR:L/UI:A/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N,4.8,MEDIUM,developer_workstation,AR:L - availability impact is usually limited to one endpoint.,"EDR, device management, least privilege, repository access controls.",CR:M - confidentiality is medium due to source code and secrets exposure risk.,"Developer endpoint with access to source code, build tools, and internal repositories.",local://curated-scenario/SCN-SYN-029; docs/ARTICLE_DATASET_SCHEMA.md; docs/ARTICLE_CLAIM_GUARDRAILS_CVSS40.md,"Curated local environment profile for developer_workstation; CVSS v4.0 vector assigned for controlled experiment, not an official CVE score.",IR:H - integrity is high because code or pipeline changes may affect production.,restricted,Standard developer user with access to internal repositories and CI credentials.,Automatable may be relevant if exploitation can be scaled across endpoints.,Synthetic scenario; threat context is not authoritative and requires review.
A,10,ER-30646EF8CD0C,real_cvss_v4_record_with_curated_context,CVSS:4.0/AV:N/AC:H/AT:P/PR:N/UI:N/VC:N/VI:H/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,8.2,HIGH,developer_workstation,AR:L - availability impact is usually limited to one endpoint.,"EDR, device management, least privilege, repository access controls.",CR:M - confidentiality is medium due to source code and secrets exposure risk.,"Developer endpoint with access to source code, build tools, and internal repositories.",[redacted-source-url]; [redacted-source-url]; [redacted-source-url]; [redacted-source-url],NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: developer_workstation.,IR:H - integrity is high because code or pipeline changes may affect production.,restricted,Standard developer user with access to internal repositories and CI credentials.,Automatable may be relevant if exploitation can be scaled across endpoints.,NVD CVE record used as vulnerability source; exploit/threat state requires separate review.
